type;requete;page_cible;position;impressions;clics;gain_estime;action;detail
QUICK_WIN;construction de bâtiment professionnel caen;construction-maison-le-havre;20.2;93;0;4.1;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec construction-maison-le-havre : 25%
QUICK_WIN;maîtrise d'oeuvre normandie;zones/normandie;18.8;87;0;3.8;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec zones/normandie : 67%
QUICK_WIN;construction de bâtiment professionnel calvados;construction-maison-le-havre;13.1;100;0;3.8;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec construction-maison-le-havre : 25%
QUICK_WIN;fth construction;construction-maison-le-havre;8.3;154;10;3.7;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec construction-maison-le-havre : 50%
QUICK_WIN;constructeur maison individuelle le havre;construction-maison-le-havre;18.8;84;0;3.7;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec construction-maison-le-havre : 50%
QUICK_WIN;maitre d'oeuvre en bâtiment;zones/le-havre;14.6;93;0;3.7;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec zones/le-havre : 67%
QUICK_WIN;étanchéité toit plat seine-maritime;extension-maison;18.8;79;0;3.5;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec extension-maison : 40%
PAGE_MANQUANTE;"('c.sam' or '') ""marges réduites"" 'le havre'";;7.4;179;0;3.4;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : permis-de-construire-le-havre (17%)
QUICK_WIN;dépannage couverture;couverture-charpente;19.3;77;0;3.4;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec couverture-charpente : 50%
QUICK_WIN;maitre d'oeuvre batiment industriel;zones/le-havre;12.1;88;0;3.2;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec zones/le-havre : 50%
PAGE_MANQUANTE;yon batiment;;8.4;133;0;3.2;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : aucune (0%)
QUICK_WIN;ravalement le havre;ravalement-facade;23.1;69;4;3.1;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec ravalement-facade : 100%
QUICK_WIN;maitre d oeuvre batiment industriel;zones/le-havre;8.8;108;0;3.0;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec zones/le-havre : 50%
QUICK_WIN;maitre d oeuvres;prix-honoraires-maitre-oeuvre;19.6;65;0;2.9;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec prix-honoraires-maitre-oeuvre : 50%
QUICK_WIN;plui le havre seine métropole;plui-le-havre;9.6;89;0;2.8;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec plui-le-havre : 50%
QUICK_WIN;terrasse sur plots gonfreville l'orcher;terrasse-beton;9.1;99;0;2.8;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec terrasse-beton : 20%
QUICK_WIN;groupe franc architectures;;11.2;79;0;2.7;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec  : 0%
QUICK_WIN;constructeur maison neuve le havre;construction-maison-le-havre;16.4;63;0;2.6;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec construction-maison-le-havre : 50%
QUICK_WIN;"('c.sam' or '') ""parts de marché"" 'le havre'";permis-de-construire-le-havre;8.5;101;0;2.4;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec permis-de-construire-le-havre : 17%
QUICK_WIN;"('c.sam' or '') ""augmendation de l endettement"" 'le havre'";permis-de-construire-le-havre;8.6;83;0;2.3;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec permis-de-construire-le-havre : 17%
QUICK_WIN;architecte maison le havre;construction-maison-le-havre;7.5;95;1;2.3;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec construction-maison-le-havre : 67%
QUICK_WIN;point p;;10.4;71;0;2.2;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec  : 0%
CTR_FAIBLE;maître d'œuvre;prix-honoraires-maitre-oeuvre;11.9;182;1;2.1;Position 12 mais CTR de 0.5% au lieu de 1.7% attendu. Réécrire le titre et la meta description.;
QUICK_WIN;"('c.sam' or '') ""perte client"" 'le havre'";permis-de-construire-le-havre;9.6;66;0;2.0;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec permis-de-construire-le-havre : 17%
QUICK_WIN;meusetravaux.be remplacement tuiles ardoises;;8.4;68;0;1.6;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec  : 0%
QUICK_WIN;maître d'oeuvre;zones/le-havre;6.2;123;4;1.4;Enrichir la page existante : traiter la requête explicitement, ajouter une section ou une question de FAQ, renforcer le maillage.;recouvrement avec zones/le-havre : 100%
PAGE_MANQUANTE;plan de masse piscine;;3.3;190;14;0.0;Aucune page ne cible cette requête. Créer une page dédiée.;page la plus proche : plans-structure-execution (33%)
